gerador,amostra,tempo_medio_s,tempo_mediano_s,tempo_min_s,tempo_max_s,ns_por_numero_medio,ns_por_numero_min,ns_por_numero_max,qui2_medio,qui2_min,qui2_max,p_medio,p_min,p_max,monobit_rate_medio,monobit_rate_min,monobit_rate_max,aprovados,reprovados,taxa_aprovacao_percent
GNPA original,1000,0.007585229,0.007486000,0.007439917,0.008130167,7585.229200000,7439.917000000,8130.167000000,65.459200000,40.512000000,82.624000000,0.440011645,0.049272538,0.987679658,100.000000,100.000000,100.000000,8,2,80.00
GNPA original,10000,0.076467913,0.076422771,0.075184667,0.077318000,7646.791260000,7518.466700000,7731.800000000,62.862080000,49.228800000,72.934400000,0.485321464,0.183777986,0.897799518,100.000000,100.000000,100.000000,10,0,100.00
GNPA original,100000,0.763712604,0.764488667,0.754157125,0.771904917,7637.126042000,7541.571250000,7719.049170000,68.193280000,50.328320000,88.048640000,0.382724244,0.020308015,0.875836544,100.000000,100.000000,100.000000,9,1,90.00
GNPA original,1000000,7.695765800,7.718653166,7.611816542,7.761094583,7695.765800000,7611.816542000,7761.094583000,94.809459200,79.723648000,130.228480000,0.026573463,0.000001365,0.075853585,100.000000,100.000000,100.000000,2,8,20.00
GNPA sem Monobit,1000,0.006336708,0.006334271,0.006214625,0.006503625,6336.708400002,6214.624999998,6503.624999993,65.971200000,40.256000000,87.232000000,0.433472422,0.023354813,0.988631075,99.340000,98.700000,99.700000,8,2,80.00
GNPA sem Monobit,10000,0.063251612,0.063425937,0.062536292,0.063643208,6325.161230000,6253.629200000,6364.320800000,62.296320000,47.513600000,71.321600000,0.498505947,0.220703133,0.926687644,99.300000,99.200000,99.390000,10,0,100.00
GNPA sem Monobit,100000,0.633071254,0.634955334,0.626321542,0.637937084,6330.712543000,6263.215420000,6379.370840000,63.594368000,46.723840000,77.254400000,0.462747167,0.106852616,0.937862746,99.313900,99.278000,99.367000,10,0,100.00
GNPA sem Monobit,1000000,6.371565300,6.369662063,6.276398000,6.495135709,6371.565300200,6276.398000000,6495.135709000,58.230105600,50.337792000,67.622912000,0.632978671,0.322305802,0.875635520,99.303300,99.285600,99.321100,10,0,100.00
Mersenne Twister,1000,0.000170763,0.000171479,0.000164708,0.000180708,170.762500008,164.708000000,180.708000016,63.603200000,50.240000000,72.896000000,0.465524969,0.184603859,0.877701246,99.360000,98.600000,99.900000,10,0,100.00
Mersenne Twister,10000,0.001758859,0.001761625,0.001585459,0.002065834,175.885860000,158.545900001,206.583400001,63.568640000,51.801600000,76.825600000,0.474774251,0.113134096,0.842162205,99.279000,99.070000,99.430000,10,0,100.00
Mersenne Twister,100000,0.016614908,0.016658021,0.016197292,0.017075917,166.149083000,161.972920000,170.759170000,64.017664000,47.299840000,81.224960000,0.464929138,0.060904545,0.929841024,99.292200,99.255000,99.339000,10,0,100.00
Mersenne Twister,1000000,0.164734821,0.164223895,0.163142459,0.168116750,164.734820700,163.142459000,168.116750000,68.772505600,54.757376000,86.809088000,0.390869451,0.025086496,0.760812313,99.300590,99.289800,99.323300,7,3,70.00
